Classification,Trade_Count,Total_PnL,Avg_PnL,Median_PnL,Win_Rate
Extreme Greed,6962,176965.491774,25.418772159436944,0.0,49.008905486929045
Fear,133871,6699925.190574,50.047621894017375,0.0,41.51459240612231
Greed,36289,3189616.535376,87.8948589207749,0.0,44.647138251260714
Neutral,7141,158742.378078,22.229712656210616,0.0,31.71824674415348
